ID,title,summary,deck,kind,costBand,tags,minutes,seeded,createdAt
d0000000-0000-4000-8000-000000000001,Cook the thing you always order,"Pick the dish one of you always orders out, find a recipe, and make it badly together. Compare.",activity,activity,under_15,"easy_to_talk,rainy_day",120,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000002,Walk the whole tram line,"Ride one line to the end you have never seen, then walk back a few stops. Stop at whatever looks good.",activity,outdoors,under_15,"walk_after,easy_to_talk",150,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000003,"Museum, one room only","Go in, pick one room, stay in it. Nobody has to pretend to like the rest.",activity,culture,c15_30,"rainy_day,quiet",60,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000004,The other neighbourhood,Get off three stops early somewhere you never go and find dinner there.,activity,activity,c30_60,"walk_after,first_date",180,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000005,"Sunrise, once","Set an alarm for something absurd, go somewhere high, bring a flask. Back in bed by nine.",activity,outdoors,free,"view,special_occasion",120,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000006,"Swim, then eat","A pool or a lake, then somewhere with big portions. In that order — it only works in that order.",activity,activity,c15_30,"outdoor,great_food",180,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000007,"Bookshop, twenty minutes","Twenty minutes each, then buy the other person the book you picked for them.",activity,activity,c15_30,"quiet,easy_to_talk",45,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000008,Cinema at four,"The afternoon showing, when the place is empty and the tickets are cheap.",activity,culture,c15_30,"rainy_day,quiet",150,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000009,Market breakfast,"Go early, eat standing up, buy something for later that neither of you planned.",activity,activity,c15_30,"lively,great_food",90,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000010,A very long lunch,Book somewhere for one o'clock with nothing after it. The whole point is that nothing is after it.,activity,restaurant,c30_60,"great_food,easy_to_talk,book_ahead",180,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000011,Learn one thing badly,"A single class in something neither of you can do. Pottery, tango, knife skills.",activity,activity,c30_60,"first_date,special_occasion,book_ahead",120,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000012,The high point,"Whatever the highest reachable place near you is. Go up it, look, come down.",activity,outdoors,free,"view,walk_after",180,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000013,Vinyl and a bar,"A record shop, then somewhere that will play what you bought if you ask nicely.",activity,activity,c30_60,"lively,late_open",150,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000014,Night walk,"After dark, no destination, forty-five minutes. Cities are different at night.",activity,outdoors,free,"quiet,walk_after,late_open",45,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000015,"Pick a country, eat it",Choose a cuisine neither of you knows and find the least glamorous place that serves it.,activity,restaurant,c15_30,"great_food,good_value",120,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000016,Gallery then argument,"A small gallery, then a drink where you have to defend your favourite piece.",activity,culture,c15_30,"easy_to_talk,quiet",150,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000017,The bakery crawl,"Three bakeries, one thing each, decide a winner. Walk between them.",activity,activity,under_15,"walk_after,good_value",90,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000018,"Botanical garden, slowly",The glasshouse in winter is the best room in any city and almost always empty.,activity,outdoors,under_15,"quiet,rainy_day,view",90,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000019,Cook for someone else,Make too much of something and take half to a friend. Eat the other half together.,activity,activity,c15_30,"big_group,easy_to_talk",180,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000020,"Ferry, bus, anything with a window",Take the transport that is the point rather than the means. Sit at the front.,activity,outdoors,under_15,"view,quiet",90,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000021,Sit in the good hotel bar,One drink each in the lobby bar of a hotel you would never stay in. Nobody asks.,activity,bar,c30_60,"quiet,view,special_occasion",90,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000022,"Flea market, ten francs each",A spending limit and a rule: it has to be for the other person.,activity,activity,under_15,"lively,walk_after",120,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000023,The place with one dish,Find somewhere that does exactly one thing. Order it. Do not ask for changes.,activity,restaurant,c15_30,"great_food,good_value,no_booking_needed",90,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000024,"Live music, whatever it is","Cheapest gig on tonight, no research, no expectations.",activity,culture,c30_60,"lively,late_open",180,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000025,Picnic in the wrong season,"Blankets, thermos, the park in November. Everyone else stayed in.",activity,outdoors,under_15,"outdoor,quiet,view",120,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000026,"Table tennis, best of five",Anywhere with a table. Keep score properly. It matters more than it should.,activity,activity,under_15,"lively,big_group",60,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000027,"Rooftop, any rooftop","A car park, a hotel, a bar. Height and a drink and half an hour.",activity,bar,c15_30,"view,special_occasion",90,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000028,Do the tourist thing,The thing in your own city that only visitors do. There is a reason they do it.,activity,culture,c15_30,"view,first_date",150,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000029,"The photograph, printed","One picture from this year, printed properly and framed. Nobody prints anything any more.",gift,other,under_15,special_occasion,30,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000030,"A repair, not a replacement","Take the broken thing they like to somebody who mends it. Boots, a watch, a chair.",gift,other,c30_60,special_occasion,60,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000031,Their childhood sweet,Track down whatever they ate when they were nine. It is almost always still made.,gift,other,under_15,surprise_worked,20,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000032,A morning off,Take everything on their list for one morning and do it without discussion.,gift,other,free,surprise_worked,240,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000033,The good version,"Whatever they use every day, in the version they would never buy themselves. Pen, socks, knife.",gift,other,c30_60,special_occasion,30,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000034,"A class, paid for",One session of the thing they keep saying they would like to try.,gift,other,c60_120,"special_occasion,book_ahead",30,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000035,Ingredients and a night off,"Everything for the meal they cook best, and you do the washing up.",gift,other,c15_30,easy_to_talk,60,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000036,A book with a note in it,Second-hand is fine. Write in the front why you picked it. That is the gift.,gift,other,under_15,quiet,30,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000037,The plant they will not kill,Ask the shop for the hardest one to kill and admit it is for somebody who forgets.,gift,other,c15_30,quiet,30,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000038,"A letter, on paper","A page about a specific day you remember. Post it, do not hand it over.",gift,other,free,special_occasion,45,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000039,"Tickets, months away",Something in the calendar for a dull month. Half the gift is the waiting.,gift,other,c60_120,"special_occasion,book_ahead",30,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000040,"Their song, on vinyl",Only works if you have something to play it on. Check first.,gift,other,c30_60,surprise_worked,30,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000041,A map of somewhere shared,"The neighbourhood, printed and framed. Mark nothing — they will know.",gift,other,c30_60,special_occasion,45,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000042,The subscription they cancelled,The one they gave up to be sensible. Give it back for a year.,gift,other,c60_120,surprise_worked,15,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000043,Breakfast delivered,Arrange it for a morning they have something difficult. Not a birthday.,gift,other,c15_30,surprise_worked,20,true,2026-09-03T12:00:00Z
d0000000-0000-4000-8000-000000000044,A second one,The thing they own and love and use until it wears out. Get the same again.,gift,other,c30_60,good_value,20,true,2026-09-03T12:00:00Z
